day_of_month,weekday,month,year,hour_of_day,minute_of_hour,author,body
11,Thursday,November,2021,23,18,Carol,"Then, we should just hold up: when you're ready for that moment, I don't really think you should lose the girl you love so much, she's the only one that cares enough to turn you to stone"
23,Monday,November,2020,21,20,Bette Porter,Even you know her
12,Sunday,July,2020,9,28,Carol,"I'm telling you: she always thought of all those things so long ago that she didn't want to be left behind, that we would do anything for her"
31,Sunday,March,2019,0,24,Therese,"She was already a pretty face, and she loved herself, and just wasn't as strong as"
3,Monday,February,2020,6,51,Carol,Invite me ’round
10,Wednesday,February,2021,10,50,Waverly,<Media omitted>
27,Friday,November,2020,5,55,Bette Porter,It wasn't clear whether Trump was a participant
2,Thursday,September,2021,20,8,Arizona,But people were still in awe of him
5,Sunday,September,2021,6,27,Bette Porter,"Would you let me come see you tomorrow evening? No, don't worry"
20,Thursday,February,2020,1,5,Therese,I'll be over before lunch
13,Sunday,September,2020,17,46,Waverly,"' This, of course, is not possible because I don't have a choice"
3,Friday,July,2020,1,31,Waverly,I just have to call and ask if you'll be okay for an hour and talk some more
28,Wednesday,April,2021,15,27,Bette Porter,"My mother should know right away that if anything goes wrong, I'm under tremendous pressure"
5,Sunday,January,2020,1,34,Carol,"However, my dad is being very careful"
27,Wednesday,February,2019,14,12,Carol,"He says he always watches him closely as I sit down in the room to talk with everyone, and if anything happens you have to call for my dad before you leave him alone—a nice feeling for him! 'Then they'll think I'm here, and they'll assume I'm not going to the office because we're in such heavy financial straits that any suggestion that I need help is highly suspect"
26,Wednesday,May,2021,1,40,Therese,<Media omitted>
20,Wednesday,February,2019,8,36,Waverly,Just a single room now
23,Thursday,September,2021,7,53,Waverly,"'Please please tell me you want to go back,' I say"
24,Friday,July,2020,11,8,Carol,<Media omitted>
14,Saturday,August,2021,10,33,Carol,"But to be honest, it feels like I've never really done this before, or really been to the office—as if I did"
1,Thursday,August,2019,1,30,Waverly,I open the doors for the other occupants
11,Wednesday,November,2020,9,9,Therese,'You sure this'll ever work out for you?' they ask
24,Wednesday,April,2019,0,52,Therese,<Media omitted>
30,Saturday,March,2019,16,43,Arizona,I'm sure some other man will come by if I need help
10,Monday,June,2019,17,10,Carol,' I tell them what I'm going to do
4,Saturday,April,2020,19,43,Bette Porter,'I need my mom's help
6,Monday,September,2021,15,32,Arizona,"What do you do on Sundays? If you don't find a place for dinner, or a chance to meet with people with whom you are not quite familiar, visit The Dormitory of the Living Dormitory, a gazebo set on an inlet that may be open to the public"
31,Thursday,January,2019,10,2,Therese,"The Dormitory serves an enormous list of accommodations available, and I've had the pleasure of making every opportunity I could to get to know the local folks there, as well as to be able to share my thoughts on the subject of food and drink for every resident of The Dormitory with the rest of us"
4,Monday,February,2019,3,17,Bette Porter,"The Dormitory in Seattle is located on the city's northwestern shore, far north of the city proper"
8,Friday,January,2021,20,12,Therese,"The Dormitory is full of restaurants that serve local cuisine, including some of Seattle's finest, or at least some of the best"
27,Wednesday,March,2019,1,57,Arizona,<Media omitted>
2,Monday,December,2019,20,0,Arizona,"To do so, you'll need a reservation and will need at least a five-day period to get there"
25,Thursday,March,2021,11,35,Therese,"There are six restaurants in Downtown Seattle, or, more recently, a number of smaller chain restaurants, serving all in one"
14,Saturday,December,2019,15,4,Bette Porter,"The Dormitory may be open, depending on the local area"
13,Friday,November,2020,14,54,Arizona,<Media omitted>
2,Monday,December,2019,1,39,Waverly,I think you’d like them
26,Monday,April,2021,8,35,Bette Porter,Well it's great with this event to move forward
9,Saturday,March,2019,7,17,Bette Porter,It's nice to have some real people that you all meet and have a real relationship with
25,Wednesday,November,2020,5,42,Arizona,<Media omitted>
19,Friday,March,2021,19,9,Therese,America has not been doing well
3,Sunday,May,2020,7,34,Waverly,"So if you like these people, that is fine with me because I can't tell you them everything here … But the point is, they are all just nice to you, like you, and they make all sorts of nice people in me that I don't know the hard way"
13,Thursday,February,2020,0,36,Bette Porter,"I don't feel like talking to you but the point is this, all I can do is stay and help you get back where you're going"
27,Tuesday,July,2021,15,50,Bette Porter,And we are here
8,Saturday,June,2019,19,34,Arizona,We will make it better for all of you
1,Thursday,August,2019,22,30,Carol,"But we are here to do something that no one in this country wants to do, or anything that people can put behind what this is"
30,Sunday,May,2021,10,12,Bette Porter,"We will be here because of you, not because of any one person on this earth"
2,Thursday,July,2020,7,48,Carol,"And I have known everyone there, everybody in this country that I have had the heart"
5,Friday,November,2021,19,48,Therese,<Media omitted>
20,Monday,July,2020,17,20,Therese,That's how it will be
4,Sunday,April,2021,3,3,Bette Porter,"And so I'm talking about going forward, with that"
25,Tuesday,February,2020,2,43,Carol,And we are here because of
23,Monday,March,2020,17,20,Bette Porter,"Would you like to come visit me this Sunday? Would you like it?

When I'm not teaching English I'm still a student of English"
26,Monday,April,2021,12,14,Therese,"I've always been on a quest to be a better English teacher, to be a better English teacher, to be better at teaching it"
6,Wednesday,October,2021,11,39,Waverly,"I also like to teach it so much that I want to do anything, anytime, anywhere in my life instead of just writing"
23,Thursday,January,2020,0,0,Bette Porter,"So, I want you to follow me to whatever university you'd like to be a teacher"
21,Wednesday,August,2019,14,5,Waverly,There were many of you who came to New Zealand for England Community English in 2004
3,Wednesday,April,2019,6,18,Arizona,Here are some of the people who came to meet me:
4,Wednesday,September,2019,22,30,Carol,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
27,Saturday,February,2021,19,31,Arizona,I think you’d like them
9,Monday,December,2019,10,38,Arizona,"So what happens when I'm gone? Is everyone just going to follow me around the house all the time? I mean, it's not really a big deal"
18,Monday,May,2020,13,35,Arizona,But I had to show everyone these big friends
1,Tuesday,September,2020,21,54,Therese,"When I got down there, it was like 20 people inside and people outside"
9,Thursday,December,2021,19,27,Bette Porter,Now they're still here
28,Saturday,November,2020,15,21,Carol,<Media omitted>
15,Monday,April,2019,16,37,Therese,They're coming to New Orleans every day
8,Wednesday,December,2021,2,37,Bette Porter,There's more to it than that
9,Tuesday,June,2020,8,55,Therese,"So, I told them, hey, go back to Louisiana if you want to take a cab"
17,Thursday,January,2019,23,31,Therese,It was about five feet away
28,Sunday,March,2021,5,45,Arizona,"Then I said, hey, stay here"
5,Sunday,January,2020,21,13,Carol,"I mean, I got five buddies with my brother"
13,Thursday,August,2020,2,49,Carol,"I said, listen, maybe I should go back there"
2,Saturday,October,2021,8,38,Waverly,<Media omitted>
8,Tuesday,June,2021,19,25,Bette Porter,It was a four-hour drive
2,Thursday,May,2019,10,19,Bette Porter,"I mean, I had to change my mind"
24,Thursday,September,2020,5,2,Carol,But we can't change our minds at all
15,Sunday,August,2021,2,43,Arizona,We moved to a much younger state in 1999
30,Saturday,October,2021,11,44,Therese,"And since then, my dad has tried everything he could possibly do to be part of the solution"
18,Wednesday,November,2020,10,38,Carol,"He thinks in the right places, he wants to stay with friends"
16,Tuesday,July,2019,12,46,Waverly,"And as I said, he is my"
9,Wednesday,January,2019,15,28,Waverly,"Would you like to come visit me this Sunday? We have a game on Wednesday, June 10"
3,Friday,December,2021,0,36,Carol,We need all of our players here
2,Saturday,February,2019,11,26,Therese,Maybe it's a combination of the three
7,Wednesday,October,2020,4,57,Carol,The plan is for my name to win my first Cup and maybe be the first one in the Cup series
26,Saturday,January,2019,3,31,Arizona,"""I like this game and I'm really proud that I play for this club, and for the history of this area"
16,Wednesday,January,2019,20,37,Bette Porter,<Media omitted>
23,Saturday,January,2021,0,47,Carol,"Let me take you to lunch, it’s the least I can do"
27,Wednesday,February,2019,19,21,Carol,"You know what?’ There is no way I can afford to be like you tonight, I've promised"
17,Thursday,December,2020,4,9,Carol,So just imagine what this means by making me your slave
5,Friday,April,2019,2,19,Bette Porter,"You really do wish for nothing less? You will be your slave for tonight, I promise"
29,Wednesday,April,2020,19,40,Bette Porter,"It doesn't matter to me just how much better you will be when you do get my dick, you can see how it can't get any better"
1,Tuesday,January,2019,22,53,Carol,Just think of it
29,Wednesday,January,2020,9,45,Arizona,"Your cock feels amazing from the moment I pull you close, you should go fucking yourself"
15,Friday,November,2019,12,21,Arizona,"There should be other things for me to do, such as going to bed, and you should probably get to have a lot more sex than I do"
13,Friday,August,2021,6,53,Bette Porter,"Right? Yes?’ Well, maybe not all the time"
8,Tuesday,June,2021,6,7,Waverly,Let me make you do something
8,Tuesday,December,2020,22,17,Bette Porter,<Media omitted>
20,Monday,September,2021,3,25,Therese,’ I like if you just have this little finger in your ass
27,Monday,September,2021,14,26,Carol,"A little finger from where I rub yours, for what I imagine it is"
4,Thursday,June,2020,9,37,Arizona,Maybe I can put your hand in my vagina too
6,Monday,September,2021,2,30,Carol,It's a small toy
24,Tuesday,August,2021,20,29,Arizona,I mean it's small
23,Tuesday,June,2020,0,5,Carol,Don't be afraid to let it all out
5,Friday,March,2021,13,17,Carol,And just how wide an asshole there are guys out here can be seen in this picture
8,Monday,February,2021,8,51,Therese,You don't even need to bring a penis
19,Tuesday,November,2019,20,35,Waverly,"It'll give you a good view of my cock from a position, so I should be able to take it out"
9,Thursday,May,2019,17,14,Bette Porter,"You’re welcome to [come], at least there’s some pretty country around where I live"
27,Wednesday,March,2019,17,18,Arizona,"The most important parts at night are probably:

1"
19,Thursday,March,2020,20,34,Carol,"The front yard: As noted at the bottom of the video, the front yard is the front seat of our RV where we ride"
29,Saturday,August,2020,11,0,Arizona,That means a car will only be running our front window if our front bumper is on top
30,Thursday,September,2021,15,9,Bette Porter,<Media omitted>
28,Saturday,December,2019,16,41,Therese,"The window covers: If you drive a car, the sides of the window are going to be a lot thicker and will have a tendency to have ""wipe marks"
6,Monday,January,2020,7,4,Carol,""" If you run these in place, your vehicle will get wet and can potentially wipe your face off in 3 steps"
16,Wednesday,December,2020,21,4,Arizona,3
22,Thursday,August,2019,1,14,Carol,A new front mirror: The first step to putting on a new front mirror is getting the new mirror into the home
27,Friday,August,2021,21,55,Arizona,<Media omitted>
20,Wednesday,November,2019,16,12,Waverly,4
1,Wednesday,January,2020,10,12,Waverly,A new trunk: Once the front trunk is put on the front porch a lot of people have had problems with their front siding because the tires don't really lock in at all
8,Monday,July,2019,19,46,Bette Porter,They can see through the car by taking into account the size of the car that you're driving
11,Sunday,July,2021,4,57,Therese,It's usually the old and the new front door sill tiles will be able to get a little larger because of the tire area of that window
30,Saturday,May,2020,7,11,Therese,They're usually just making sure the front
29,Saturday,June,2019,8,43,Bette Porter,"Let me take you to lunch, it’s the least I can do"
9,Saturday,October,2021,11,49,Waverly,"’’

Thank you for stopping by the door, you were great

Thank you, you're the main one out there

Thank you for saying my name, well I feel like I should have been there sooner

I'm sorry, it's very painful though, my name doesn't sound like it has ever been before

No, I'm sorry, but your name makes me want to cry

Your name makes me want to laugh

You're like the main one out there, this is the very first thing I heard

A girl coming up the stairs, not knowing you were here and I'm so glad the girl came out here for you

I feel great, my shoulders are so warm, my arms around you

So sorry about all of what happened and I'm so sorry

It was something that I always dreamed of, like being in your arms, hugging you, loving you"
17,Saturday,April,2021,14,55,Therese,"I couldn't believe it when my heart stopped

The only thing that kept it going was that my heart was full of love, and it was all I had

A little more love, I wish you were all right, this would explain everything

I can't believe you would have let go of me, I know how hard you want me to be

I can't believe how I'm still there, I still feel"
29,Friday,October,2021,21,5,Bette Porter,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
11,Saturday,July,2020,12,27,Carol,I think you’d like them
16,Saturday,May,2020,17,50,Therese,<Media omitted>
17,Sunday,February,2019,2,31,Arizona,"You know, once we met, you looked a little older than I am now"
6,Thursday,February,2020,19,9,Waverly,I'm talking about you in a way that is way less mature and more human
18,Saturday,May,2019,3,19,Carol,My birthday was Saturday of next week
5,Sunday,April,2020,20,58,Waverly,"I was at my house this past Friday, so I went to the bar and you were there too"
1,Friday,May,2020,8,15,Arizona,We talked all day
5,Wednesday,June,2019,21,24,Arizona,"You had a lot of fun with me, you know? We just sort of got on well together"
3,Wednesday,April,2019,18,34,Carol,So on Saturday morning we got on as well
18,Wednesday,August,2021,1,13,Waverly,I was getting drunk at the bar and you were there too
17,Monday,August,2020,10,19,Therese,"I told you, we went the bathroom and I saw all the girls, so we knew we weren't going to see each other a couple of months later"
6,Monday,May,2019,21,42,Bette Porter,"So just to make things out that way, we'd go into the bathroom and I heard you talking about me and I told you about my boyfriend"
14,Tuesday,April,2020,3,41,Therese,<Media omitted>
20,Monday,May,2019,3,30,Arizona,He said at one point that he was getting paid to stay with you at the bar
5,Friday,July,2019,9,1,Arizona,"Because you know he was kind of paying to stay with you?

Yeah, because I knew he was living there"
17,Wednesday,April,2019,12,37,Carol,Was he working at that bar the day we met? I forget
28,Thursday,November,2019,10,54,Carol,Invite me ’round
4,Sunday,October,2020,8,48,Waverly,You can use the first round to see the entire set as it appears
16,Wednesday,January,2019,15,49,Bette Porter,You can also join my team
22,Wednesday,December,2021,8,53,Bette Porter,Thank you
13,Thursday,May,2021,11,24,Arizona,<Media omitted>
5,Monday,April,2021,11,38,Carol,Q
5,Sunday,April,2020,19,14,Therese,"What can I tell you regarding ""B"
4,Thursday,February,2021,5,36,Arizona,<Media omitted>
29,Saturday,August,2020,5,38,Bette Porter,","" ""B"
10,Thursday,June,2021,23,14,Waverly,<Media omitted>
9,Friday,October,2020,19,7,Waverly,V
6,Saturday,November,2021,8,5,Waverly,<Media omitted>
7,Saturday,March,2020,10,55,Waverly,"To get a sense of what I can read by ""E"
4,Monday,November,2019,4,43,Waverly,R
18,Wednesday,March,2020,1,12,Bette Porter,<Media omitted>
2,Monday,November,2020,11,56,Waverly,E
10,Thursday,June,2021,21,0,Carol,""", I will point you to a few of my favorite character lines by ""E"
18,Monday,May,2020,5,32,Carol,R
20,Tuesday,July,2021,11,1,Waverly,<Media omitted>
19,Sunday,December,2021,1,55,Carol,"Q,"" and ""B"
3,Friday,January,2020,12,1,Bette Porter,V
4,Monday,March,2019,7,39,Arizona,""" (please note that other things have to be added and made happen!) Q"
13,Wednesday,March,2019,13,34,Carol,"When are the other three ""E"
6,Tuesday,April,2021,8,22,Arizona,"""s mentioned? A"
20,Tuesday,July,2021,0,43,Bette Porter,"In certain places in the first series of ""U"
24,Thursday,January,2019,4,31,Carol,S
10,Saturday,July,2021,22,44,Therese,"""S"
10,Monday,June,2019,22,11,Arizona,<Media omitted>
6,Sunday,January,2019,17,47,Carol,M
6,Saturday,June,2020,5,13,Arizona,", when I was casting, and again in 'U"
8,Thursday,July,2021,15,50,Arizona,S
22,Tuesday,January,2019,3,22,Waverly,<Media omitted>
8,Friday,November,2019,9,29,Waverly,A
2,Saturday,February,2019,12,4,Carol,M
1,Friday,March,2019,8,7,Carol,", the writers decided that, unlike many of her rivals, ""E"
28,Thursday,October,2021,9,53,Bette Porter,"""s are always ""not here!"" and ""she's not here either"
3,Thursday,September,2020,13,22,Therese,""" In other words, they decided, instead of ""she's a friend of my mother,"" they were going instead, ""She's trying to make some friends"
18,Sunday,April,2021,15,5,Waverly,""" As a follow-up note, ""E"
21,Saturday,August,2021,5,14,Waverly,R
3,Friday,December,2021,10,18,Waverly,""" comes to have a ""big red ring around its neck,"" but there are other versions in the series where E"
18,Sunday,April,2021,11,37,Carol,R
9,Friday,August,2019,10,54,Waverly,"'s been out of fashion for a while — the line where ""E"
15,Thursday,August,2019,19,49,Arizona,R
11,Wednesday,November,2020,23,58,Bette Porter,Would you let me come see you tomorrow evening? We have to go to the station next
16,Saturday,February,2019,0,57,Arizona,And if it ain't gonna be for some reason
23,Friday,July,2021,13,16,Carol,We don't want no part in anything
22,Monday,July,2019,13,55,Therese,I don't know how it went
14,Monday,December,2020,11,29,Bette Porter,<Media omitted>
9,Sunday,February,2020,20,29,Carol,"The second of Jor-Dekin, Jakob was captured by the Covenant forces after killing his grandmother after the Flood"
14,Thursday,October,2021,0,50,Arizona,"He survived the destruction on his father's property on the Ark, and was later buried in the New World"
27,Saturday,November,2021,13,27,Arizona,<Media omitted>
6,Monday,September,2021,14,0,Waverly,<Media omitted>
5,Sunday,September,2021,7,45,Arizona,<Media omitted>
18,Thursday,June,2020,22,17,Therese,"He is the second to be brought down, after the first to be killed in the final battle when he was at the mercy of Theophilus"
6,Saturday,April,2019,6,45,Carol,"Jakob has been used as a base for the Flood during his time aboard the Ark, during both of the Flood's main missions and during the events of its destruction in the New World as well as during the final Halo film"
5,Thursday,September,2019,21,2,Carol,"After the defeat of Theophilus's forces on Installation 04 at the Battle of Installation 04 on the day of the Flood, Jakob became the commanding officer of the Flood"
24,Friday,April,2020,18,51,Arizona,"Biography

Early life

Kri-Dekin is an"
27,Wednesday,October,2021,17,30,Arizona,"You’re welcome to [come], at least there’s some pretty country around where I live"
27,Monday,July,2020,1,22,Bette Porter,<Media omitted>
2,Monday,December,2019,8,24,Carol,"‚If you don't want your friends and family to know that you're here, then I will definitely tell you about the people I go out with every week"
13,Thursday,May,2021,9,1,Bette Porter,"‬ I'll be your [sister]’, of course, but at least I should tell the story"
23,Thursday,January,2020,23,34,Arizona,"— If she's not here, then here’"
8,Monday,March,2021,4,36,Therese,Because I'm already thinking about what will happen to these two sisters
11,Tuesday,May,2021,15,19,Waverly,This whole deal has left no room for misunderstanding or disappointment
9,Monday,November,2020,18,23,Arizona,"‚ I just want to ask them, you must have been worried to hear everyone said 'well, if he's here, I'll give him permission"
30,Friday,August,2019,6,8,Bette Porter,<Media omitted>
28,Wednesday,August,2019,15,59,Waverly,<Media omitted>
8,Tuesday,June,2021,11,1,Waverly,"‬ [sigh] No, it's just [sighing too much]"
18,Tuesday,May,2021,5,2,Arizona,This is not the kind of talk you will want to make
6,Thursday,June,2019,2,35,Arizona,<Media omitted>
7,Thursday,February,2019,16,55,Carol,"What do you do on Sundays? Or in that last day?""

""If people aren't there, why is it important?""

""Do you think their voices and feelings need to be heard more?""

""What's the difference between calling them out while they're away and asking when they might be back?""

""Does it bother you that a word can be 'unseen'? Or that someone may see it as 'too-clear'? Or that you need to be careful about how you say something like that? And what do you do with that information when it comes to social media, you may just be saying, 'I need this"
12,Wednesday,June,2019,9,25,Carol,<Media omitted>
22,Friday,May,2020,21,15,Therese,"' If you don't, you can go to sleep"
28,Saturday,September,2019,20,43,Therese,"If you say something like that, you're saying, 'I think you're a man, I'm a good guy"
22,Monday,February,2021,6,3,Arizona,"'""

This article is from the archive of our partner The Wire"
21,Sunday,March,2021,16,50,Waverly,"Would you like to come visit me this Sunday?

You can give me free lessons at any of my locations"
28,Tuesday,May,2019,22,39,Arizona,You can learn at http://www
13,Sunday,December,2020,22,44,Bette Porter,chrishol
11,Monday,May,2020,13,24,Therese,com
19,Saturday,June,2021,2,18,Waverly,You can follow Rishi on Twitter @RishiYosai
2,Saturday,March,2019,2,36,Therese,Check the chrishol
23,Thursday,April,2020,12,40,Bette Porter,com website for more information on the chrishol and her school
19,Sunday,May,2019,2,30,Therese,<Media omitted>
3,Wednesday,February,2021,10,10,Bette Porter,com Privacy Policy to learn more about my privacy practices and ways you can help me protect personal information and avoid disclosing it
21,Saturday,November,2020,10,26,Therese,I’m meeting some people at the Oak Room at 9 if you want to have dinner – if you change your mind
20,Saturday,March,2021,21,56,Carol,I think you’d like them
2,Sunday,February,2020,14,1,Waverly,Well maybe you would go see if it was worth the risk
26,Wednesday,June,2019,14,14,Bette Porter,"""

""Good! Well it's a good day for my day if I don't try to take your name out of it"
6,Tuesday,April,2021,18,51,Waverly,Let's have a lunch
12,Thursday,November,2020,4,34,Carol,Bye
18,Thursday,April,2019,21,39,Carol,Good Morning everyone
11,Saturday,May,2019,1,27,Arizona,"""

The man walked up to the girls after a look of quiet surprise of sorts, he glanced at the door, he paused at the bar and smiled, then shook his head while he walked"
11,Tuesday,May,2021,6,24,Therese,"The girl opened the door, he saw her friend's little white dress draped over her"
7,Friday,May,2021,0,5,Arizona,<Media omitted>
18,Monday,May,2020,3,54,Bette Porter,"""Well I want you to buy some money and I said I'd buy a place for you to be when I'm with you and she said I'd let ya"
19,Friday,July,2019,9,50,Carol,"""

""I'm sorry I said that"
13,Monday,May,2019,8,31,Carol,"""

The girl smiled, she said nothing"
23,Thursday,September,2021,20,11,Therese,Now I guess I just felt wrong
30,Thursday,May,2019,2,43,Bette Porter,<Media omitted>
10,Tuesday,March,2020,1,47,Bette Porter,"""Hi… I am the friend that you asked that me"
3,Wednesday,July,2019,9,20,Waverly,Okay
7,Tuesday,April,2020,16,50,Therese,I'll come in with you
24,Wednesday,March,2021,17,11,Bette Porter,"""

In a heartbeat she walked across and down the path, a light rain falling"
7,Tuesday,April,2020,10,56,Waverly,"The girl moved towards the stairs and walked around the corner,"
16,Friday,August,2019,14,30,Bette Porter,"Anyway, the apartment’s a nice big one"
7,Monday,September,2020,20,37,Waverly,Big enough for two
28,Tuesday,January,2020,8,44,Therese,I was hoping you might like to come live with me but I guess you won’t
8,Monday,July,2019,6,37,Bette Porter,Would you?
30,Saturday,October,2021,17,5,Bette Porter,"What do you do on Sundays?

I get on Sunday, I get off from work, I get out of the home"
23,Monday,November,2020,1,37,Waverly,"But you get to know my wife quite well now after being in our life for some ten years?

Yes"
12,Sunday,July,2020,18,41,Carol,"We talked about her a lot during that conversation, and after we had a baby, we spoke about it again"
14,Wednesday,April,2021,17,43,Waverly,<Media omitted>
8,Tuesday,January,2019,16,52,Carol,"In fact, I have worked on all the projects I don't want the kids to hear about"
3,Sunday,May,2020,21,3,Bette Porter,They should have something to do with it
19,Thursday,December,2019,14,45,Carol,<Media omitted>
8,Sunday,September,2019,13,20,Therese,It was a couple of years back that I went on maternity leave
26,Saturday,October,2019,19,47,Therese,It was an emotional time
8,Tuesday,September,2020,1,27,Waverly,"As you know, I've had my first baby, and I'm getting into having my second"
22,Tuesday,October,2019,7,16,Therese,We're expecting our third child this year
29,Tuesday,June,2021,9,31,Therese,I had to get an epidural and so that will do a great job
19,Saturday,December,2020,13,10,Carol,"In the morning, when you're still breathing, what do you do when you're doing the whole work day and there are no other things going on besides being sick?

It's a really good feeling"
21,Friday,February,2020,18,22,Bette Porter,<Media omitted>
25,Friday,December,2020,10,27,Waverly,"You’re welcome to [come], at least there’s some pretty country around where I live"
4,Wednesday,August,2021,16,17,Waverly,I'll just have to get to the [redacted] one
23,Tuesday,June,2020,11,13,Bette Porter,<Media omitted>
31,Monday,May,2021,16,37,Waverly,Okay? I'm coming’and I won't miss this job
19,Tuesday,October,2021,7,28,Carol,"Bye, [redacted]"
3,Monday,February,2020,20,25,Bette Porter,<Media omitted>
4,Wednesday,November,2020,11,22,Bette Porter,"! I appreciate it!

Meaning? We're on a boat!

Meaning? I'm going swimming right now"
27,Saturday,November,2021,11,5,Therese,"I'm gonna need a new hat!

Meaning? I'm getting along well, right? So I went paddleboarding to"
2,Sunday,June,2019,1,20,Therese,"well, I guess now I'm at the right place in the boat and I wanted to talk to you more"
7,Friday,August,2020,2,44,Bette Porter,I'm going to get to
19,Friday,March,2021,8,10,Waverly,<Media omitted>
20,Tuesday,April,2021,16,5,Bette Porter,Don't you think that I'm kind of a fish out of water there? I'll do my best to go up to the captain
26,Wednesday,August,2020,3,33,Waverly,Hey? Hey! I'm going on a boat
17,Wednesday,July,2019,16,4,Arizona,<Media omitted>
1,Friday,October,2021,7,5,Therese,<Media omitted>
31,Thursday,October,2019,11,54,Arizona,I
4,Thursday,June,2020,8,55,Therese,"Would you let me come see you tomorrow evening? [Nods to her] Please say goodbye [to himself] Hey babe, don't worry"
23,Thursday,September,2021,22,2,Carol,Thats fine
24,Saturday,August,2019,16,49,Therese,I'll come sit with you and take care of you for you tomorrow
3,Saturday,April,2021,12,47,Waverly,[Nods until kissing and kissing to rest]
6,Thursday,August,2020,11,17,Carol,Maybe you’d like to come visit me sometime
1,Thursday,August,2019,13,35,Carol,"I want to go over, so I'll meet you there"
17,Sunday,November,2019,15,56,Bette Porter,"I can give you more directions than I could, but you're better soon"
28,Saturday,September,2019,3,25,Therese,You were always kind
26,Wednesday,August,2020,9,46,Therese,"No, that's nothing"
22,Tuesday,September,2020,18,35,Bette Porter,I'll just keep you out and see what happens
1,Wednesday,September,2021,9,30,Carol,So don't stop asking me questions right now
23,Wednesday,October,2019,23,20,Carol,Don't take advantage of anything
2,Saturday,May,2020,15,24,Bette Porter,"You know this, this kind of stuff is bothering you"
17,Sunday,November,2019,6,59,Therese,"I'm not a good friend of yours, okay? Don't take that at face value"
21,Thursday,November,2019,7,15,Waverly,Let's talk about this in class
21,Monday,December,2020,2,44,Arizona,"That way, when I meet you, you can ask me some questions, okay? Well, the next three are pretty cool"
17,Sunday,March,2019,15,38,Waverly,I can tell you if I'm ever tired of asking you specific questions
27,Friday,March,2020,23,24,Arizona,I could also keep writing all that
8,Tuesday,September,2020,7,18,Carol,Maybe I'll stop now
16,Sunday,February,2020,13,27,Bette Porter,I'll remember what I see
15,Monday,April,2019,22,6,Bette Porter,You can stop asking I know you know
16,Friday,July,2021,23,42,Therese,It would be nice if I kept these questions pretty short
18,Sunday,October,2020,16,34,Arizona,"So, you're sure you want to go? Well come on in, I really want to see you"
2,Sunday,February,2020,3,14,Waverly,<Media omitted>
9,Tuesday,April,2019,3,4,Waverly,We've got this beautiful group of people all in all their weird costumes
3,Wednesday,February,2021,16,8,Carol,"This is so close, this is this tight group of people"
28,Sunday,July,2019,14,36,Therese,We all love this little group of people
25,Monday,February,2019,1,38,Carol,"They all really are super sexy, they all have a way of showing off"
29,Thursday,August,2019,16,36,Therese,I'm not sure if anyone's
16,Tuesday,July,2019,2,32,Carol,Maybe you’d like to come visit me sometime
22,Friday,October,2021,18,49,Waverly,"- Aya ♥


Bugs have been fixed and can be fixed as usual in every version from before the project came out!

1"
15,Sunday,November,2020,21,1,Waverly,<Media omitted>
7,Saturday,September,2019,20,25,Therese,3 We found some bug fixes with TSL 2
12,Sunday,September,2021,14,13,Therese,x version 1
30,Monday,November,2020,12,38,Bette Porter,5
27,Thursday,June,2019,14,46,Bette Porter,<Media omitted>
1,Wednesday,April,2020,4,25,Arizona,11
1,Tuesday,September,2020,10,40,Arizona,2 If you have any bugs you have found and would like to hear the change to TSL 2
28,Wednesday,October,2020,13,11,Carol,"x, please contact us via social media @tls_v2 or in the issues section to leave us a comment! We have to fix this too so that we can send you bug reports to the correct address for you, so our moderators and testers can always solve your issues"
2,Thursday,May,2019,10,10,Therese,"If you have any problems, you might want to go to our discord, post and message us with it!


1"
30,Friday,July,2021,6,42,Arizona,11 We discovered some bug fixes with TSL 2
22,Monday,June,2020,0,9,Bette Porter,x version 1
19,Tuesday,November,2019,5,35,Therese,5
23,Friday,July,2021,22,40,Arizona,1
9,Wednesday,September,2020,21,6,Arizona,11We found some bug fixes with TSL 2
6,Saturday,June,2020,23,51,Therese,x version 1
27,Saturday,April,2019,12,24,Carol,5
23,Thursday,May,2019,3,55,Carol,Sorry everybody and welcome back to the site!
22,Friday,March,2019,11,17,Bette Porter,"Would you let me come see you tomorrow evening? I might give some kind suggestion, after the time is up, but we cannot give you anything that can be discussed without giving you my name or the address"
25,Friday,September,2020,9,51,Arizona,"""

""Sir,"" he replied, ""then I will send some news of my way"
28,Wednesday,July,2021,11,38,Carol,"If you do not have a home, I beg you for a little gift"
22,Tuesday,January,2019,6,24,Waverly,<Media omitted>
25,Monday,February,2019,2,0,Therese,I wish these people that I have some money to help me find a place for myself for the time being
12,Saturday,December,2020,4,22,Carol,I really love you
30,Saturday,October,2021,13,59,Carol,"""

I turned around in disgust and gave him a look which told him what she was feeling"
29,Tuesday,December,2020,5,53,Carol,She spoke a soft and gentle English while he spoke with perfect calm and composure
21,Friday,February,2020,0,30,Therese,She wore a black long black dress with black waist and a blue tie which he clearly noticed and saw was her favourite part of the gown
12,Thursday,September,2019,21,11,Waverly,She held her daughter close and gave me an affectionate squeeze while she talked of her dear but poor husband
16,Thursday,December,2021,4,37,Carol,My head almost sank with shock at the thought of having to do so
